,SENSOR_X,0,SENSOR_Y,0,FECHIPS_X,FECHIPS_Y,0,FECHIP_THICKNESS,0,BAREMODULE_THICKNESS,SENSOR_THICKNESS,0
33,,,20UPGB42305008,41.093,,,,,,,,
34,,,20UPGB42305019,41.096,,,,,,,,
35,,,20UPGB42303004,41.096,,,,,,,,
36,,,20UPGB42304007,41.095,,,,,,,,
37,,,20UPGB42303017,41.093,,,,,,,,
38,,,20UPGB42302027,41.085,,,,,,,,
39,,,20UPGB42302008,41.096,,,,,,,,
40,,,20UPGB42302003,41.096,,,,,,,,
41,,,20UPGB42304003,41.095,,,,,,,,
42,,,20UPGB42302026,41.097,,,,,,,,
43,,,20UPGB42303007,41.097,,,,,,,,
44,,,20UPGB42303016,41.092,,,,,,,,
45,,,20UPGB42303013,41.097,,,,,,,,
46,,,20UPGB42305003,41.094,,,,,,,,
47,,,20UPGB42302010,41.095,,,,,,,,
48,,,20UPGB42303014,41.095,,,,,,,,
49,,,20UPGB42305011,41.092,,,,,,,,
50,,,20UPGB42306012,41.094,,,,,,,,
51,,,20UPGB42303022,41.093,,,,,,,,
52,,,20UPGB42304001,41.096,,,,,,,,
53,,,20UPGB42302024,41.097,,,,,,,,
54,,,20UPGB42306013,41.096,,,,,,,,
55,,,20UPGB42305016,41.09,,,,,,,,
56,,,20UPGB42302002,41.096,,,,,,,,
57,,,20UPGB42306001,41.091,,,,,,,,
58,,,20UPGB42303024,41.096,,,,,,,,
59,,,20UPGB42305009,41.097,,,,,,,,
60,,,20UPGB42304004,41.093,,,,,,,,
61,,,20UPGB42306003,41.094,,,,,,,,
62,,,20UPGB42303027,41.095,,,,,,,,
63,,,20UPGB42303021,41.094,,,,,,,,
64,,,20UPGB42302016,41.095,,,,,,,,
65,,,20UPGB42306002,41.09,,,,,,,,
66,,,20UPGB42305022,41.098,,,,,,,,
67,,,20UPGB42303020,41.095,,,,,,,,
68,,,20UPGB42303015,41.095,,,,,,,,
69,,,20UPGB42303002,41.096,,,,,,,,
70,,,20UPGB42305007,41.095,,,,,,,,
71,,,20UPGB42303008,41.098,,,,,,,,
72,,,20UPGB42302014,41.096,,,,,,,,
73,,,20UPGB42306007,41.091,,,,,,,,
74,,,20UPGB42302005,41.092,,,,,,,,
75,,,20UPGB42305026,41.097,,,,,,,,
76,,,20UPGB42302011,41.099,,,,,,,,
77,,,20UPGB42302001,41.099,,,,,,,,
78,,,20UPGB42305021,41.094,,,,,,,,
79,,,20UPGB42305014,41.096,,,,,,,,
80,,,20UPGB42305012,41.093,,,,,,,,
81,,,20UPGB42305010,41.092,,,,,,,,
82,,,20UPGB42305001,41.095,,,,,,,,
83,,,20UPGB42305013,41.094,,,,,,,,
84,,,20UPGB42304005,41.097,,,,,,,,
85,,,20UPGB42302028,41.099,,,,,,,,
86,,,20UPGB42302017,41.096,,,,,,,,
87,,,20UPGB42304002,41.099,,,,,,,,
88,,,20UPGB42306004,41.092,,,,,,,,
89,,,20UPGB42302019,41.098,,,,,,,,
90,,,20UPGB42305015,41.087,,,,,,,,
91,,,20UPGB42302012,41.096,,,,,,,,
92,,,20UPGB42303018,41.095,,,,,,,,
93,,,20UPGB42305020,41.096,,,,,,,,
94,,,20UPGB42303025,41.093,,,,,,,,
95,,,20UPGB42303023,41.095,,,,,,,,
96,,,20UPGB42302006,41.093,,,,,,,,
