,serial_number,tag,x,y
199,20UPGM22601024,FmarkBR,18.73035,-18.544
200,20UPGM22601050,AsicFmarkTL,-21.0535,20.672150000000002
201,20UPGM22601050,AsicFmarkTR,20.94235,20.73565
202,20UPGM22601050,AsicFmarkBL,-21.00865,-19.4142
203,20UPGM22601050,AsicFmarkBR,20.995,-19.3532
204,20UPGM22601050,FmarkTL,-18.8365,19.9858
205,20UPGM22601050,FmarkTR,18.736200000000004,19.997500000000002
206,20UPGM22601050,FmarkBL,-18.8443,-18.56935
207,20UPGM22601050,FmarkBR,18.73035,-18.5752
208,20UPGM22601025,AsicFmarkTL,-21.089150000000004,20.605
209,20UPGM22601025,AsicFmarkTR,20.936500000000002,20.683
210,20UPGM22601025,AsicFmarkBL,-20.9858,-19.48635
211,20UPGM22601025,AsicFmarkBR,21.0262,-19.386350000000004
212,20UPGM22601025,FmarkTL,-18.85015,19.91365
213,20UPGM22601025,FmarkTR,18.73035,19.972150000000003
214,20UPGM22601025,FmarkBL,-18.79165,-18.64735
215,20UPGM22601025,FmarkBR,18.783,-18.5947
216,20UPGM22601023,AsicFmarkTL,-21.0638,20.644000000000002
217,20UPGM22601023,AsicFmarkTR,20.92285,20.69665
218,20UPGM22601023,AsicFmarkBL,-21.0638,-19.42785
219,20UPGM22601023,AsicFmarkBR,20.9677,-19.400000000000002
220,20UPGM22601023,FmarkTL,,
221,20UPGM22601023,FmarkTR,18.73035,19.952650000000002
222,20UPGM22601023,FmarkBL,-18.863799999999998,-18.6142
223,20UPGM22601023,FmarkBR,18.71085,-18.622
224,20UPGM22601021,AsicFmarkTL,-21.050150000000002,20.6518
225,20UPGM22601021,AsicFmarkTR,20.956,20.7103
226,20UPGM22601021,AsicFmarkBL,-20.997500000000002,-19.42785
227,20UPGM22601021,AsicFmarkBR,21.006700000000002,-19.372700000000002
228,20UPGM22601021,FmarkTL,-18.855999999999998,19.9585
229,20UPGM22601021,FmarkTR,18.724500000000003,19.9858
230,20UPGM22601021,FmarkBL,-18.83065,-18.5947
231,20UPGM22601021,FmarkBR,18.744000000000003,-18.5752
232,20UPGM22601037,AsicFmarkTL,-21.024800000000003,20.671300000000002
233,20UPGM22601037,AsicFmarkTR,20.98135,20.7025
234,20UPGM22601037,AsicFmarkBL,-20.991650000000003,-19.4142
235,20UPGM22601037,AsicFmarkBR,21.006700000000002,-19.3805
236,20UPGM22601037,FmarkTL,-18.8365,19.952650000000002
237,20UPGM22601037,FmarkTR,18.73035,19.9858
238,20UPGM22601037,FmarkBL,-18.817,-18.608349999999998
239,20UPGM22601037,FmarkBR,18.7635,-18.5752
240,20UPGM22601064,AsicFmarkTL,-21.1198,20.639000000000003
241,20UPGM22601064,AsicFmarkTR,20.8897,20.73565
242,20UPGM22601064,AsicFmarkBL,-21.02815,-19.4415
243,20UPGM22601064,AsicFmarkBR,20.9755,-19.347350000000002
244,20UPGM22601064,FmarkTL,-18.86965,19.9585
245,20UPGM22601064,FmarkTR,18.697200000000002,19.9858
246,20UPGM22601064,FmarkBL,-18.8443,-18.608349999999998
247,20UPGM22601064,FmarkBR,18.736200000000004,-18.583
248,20UPGM22601072,AsicFmarkTL,-21.0613,20.691650000000003
249,20UPGM22601072,AsicFmarkTR,20.9482,20.741500000000002
250,20UPGM22601072,AsicFmarkBL,-21.034,-19.383
251,20UPGM22601072,AsicFmarkBR,20.956,-19.3532
252,20UPGM22601072,FmarkTL,-18.855999999999998,19.978
253,20UPGM22601072,FmarkTR,18.716700000000003,19.997500000000002
254,20UPGM22601072,FmarkBL,-18.8365,-18.56935
255,20UPGM22601072,FmarkBR,18.724500000000003,-18.555699999999998
256,20UPGM22601062,AsicFmarkTL,-21.041800000000002,20.744300000000003
257,20UPGM22601062,AsicFmarkTR,20.9677,20.8195
258,20UPGM22601062,AsicFmarkBL,-21.0028,-19.33035
259,20UPGM22601062,AsicFmarkBR,21.00085,-19.2752
260,20UPGM22601062,FmarkTL,-18.8365,20.050150000000002
261,20UPGM22601062,FmarkTR,18.73035,20.069650000000003
262,20UPGM22601062,FmarkBL,-18.817,-18.510849999999998
263,20UPGM22601062,FmarkBR,18.7557,-18.49135
264,20UPGM22110427,AsicFmarkTL,-21.03065,20.722
265,20UPGM22110427,AsicFmarkTR,20.9677,20.75515
266,20UPGM22110427,AsicFmarkBL,-21.017000000000003,-19.3635
267,20UPGM22110427,AsicFmarkBR,20.9872,-19.32785
268,20UPGM22110427,FmarkTL,-18.8443,19.972150000000003
269,20UPGM22110427,FmarkTR,18.744000000000003,19.972150000000003
270,20UPGM22110427,FmarkBL,-18.8365,-18.6415
271,20UPGM22110427,FmarkBR,18.744000000000003,-18.62785
272,20UPGM22601054,AsicFmarkTL,-21.0613,20.73065
273,20UPGM22601054,AsicFmarkTR,20.936500000000002,20.77465
274,20UPGM22601054,AsicFmarkBL,-21.04765,-19.34985
275,20UPGM22601054,AsicFmarkBR,20.956,-19.322000000000003
276,20UPGM22601054,FmarkTL,-18.86965,20.01115
277,20UPGM22601054,FmarkTR,18.71085,20.044300000000003
278,20UPGM22601054,FmarkBL,-18.85015,-18.5362
279,20UPGM22601054,FmarkBR,18.724500000000003,-18.5245
280,20UPGM22601044,AsicFmarkTL,-21.069650000000003,20.69665
281,20UPGM22601044,AsicFmarkTR,20.936500000000002,20.741500000000002
282,20UPGM22601044,AsicFmarkBL,-21.044300000000003,-19.4025
283,20UPGM22601044,AsicFmarkBR,20.961850000000002,-19.3532
284,20UPGM22601044,FmarkTL,-18.85015,19.997500000000002
285,20UPGM22601044,FmarkTR,18.724500000000003,20.01115
286,20UPGM22601044,FmarkBL,-18.85015,-18.54985
287,20UPGM22601044,FmarkBR,18.73035,-18.54985
288,20UPGM22601015,AsicFmarkTL,-21.036500000000004,20.6635
289,20UPGM22601015,AsicFmarkTR,20.956,20.73565
290,20UPGM22601015,AsicFmarkBL,-20.9858,-19.42785
291,20UPGM22601015,AsicFmarkBR,21.02035,-19.347350000000002
292,20UPGM22601015,FmarkTL,-18.8248,19.9585
293,20UPGM22601015,FmarkTR,18.744000000000003,19.991650000000003
294,20UPGM22601015,FmarkBL,-18.8053,-18.608349999999998
295,20UPGM22601015,FmarkBR,18.7752,-18.58885
296,20UPGM22601041,AsicFmarkTL,-21.056,20.7025
297,20UPGM22601041,AsicFmarkTR,20.956,20.7493
298,20UPGM22601041,AsicFmarkBL,-21.03065,-19.3947
299,20UPGM22601041,AsicFmarkBR,20.98135,-19.32785
300,20UPGM22601041,FmarkTL,-18.8443,19.9858
301,20UPGM22601041,FmarkTR,18.736200000000004,19.9858
302,20UPGM22601041,FmarkBL,-18.8365,-18.5752
303,20UPGM22601041,FmarkBR,18.749850000000002,-18.583
304,20UPGM22601071,AsicFmarkTL,-21.06715,20.646800000000002
305,20UPGM22601071,AsicFmarkTR,20.917,20.722
306,20UPGM22601071,AsicFmarkBL,-21.02815,-19.4415
307,20UPGM22601071,AsicFmarkBR,20.9677,-19.372700000000002
308,20UPGM22601071,FmarkTL,-18.85015,19.972150000000003
309,20UPGM22601071,FmarkTR,18.724500000000003,19.9663
310,20UPGM22601071,FmarkBL,-18.8365,-18.6025
311,20UPGM22601071,FmarkBR,18.73035,-18.5947
312,20UPGM22601070,AsicFmarkTL,-21.0613,20.65265
313,20UPGM22601070,AsicFmarkTR,20.94235,20.7025
314,20UPGM22601070,AsicFmarkBL,-21.0223,-19.422
315,20UPGM22601070,AsicFmarkBR,20.9677,-19.392200000000003
316,20UPGM22601070,FmarkTL,-18.855999999999998,19.946800000000003
317,20UPGM22601070,FmarkTR,18.716700000000003,19.9585
318,20UPGM22601070,FmarkBL,-18.85015,-18.6025
319,20UPGM22601070,FmarkBR,18.724500000000003,-18.5947
320,20UPGM22601031,AsicFmarkTL,-21.044300000000003,20.7103
321,20UPGM22601031,AsicFmarkTR,20.956,20.761
322,20UPGM22601031,AsicFmarkBL,-20.997500000000002,-19.3752
323,20UPGM22601031,AsicFmarkBR,21.00085,-19.333700000000004
324,20UPGM22601031,FmarkTL,-18.817,20.017000000000003
325,20UPGM22601031,FmarkTR,18.749850000000002,20.005300000000002
326,20UPGM22601031,FmarkBL,-18.8365,-18.544
327,20UPGM22601031,FmarkBR,18.736200000000004,-18.555699999999998
328,20UPGM22101021,AsicFmarkTL,-21.044300000000003,20.644000000000002
329,20UPGM22101021,AsicFmarkTR,20.9677,20.7103
330,20UPGM22101021,AsicFmarkBL,-20.991650000000003,-19.42785
331,20UPGM22101021,AsicFmarkBR,21.00085,-19.386350000000004
332,20UPGM22101021,FmarkTL,-18.8443,19.9663
333,20UPGM22101021,FmarkTR,18.724500000000003,19.997500000000002
334,20UPGM22101021,FmarkBL,-18.8248,-18.58885
335,20UPGM22101021,FmarkBR,18.749850000000002,-18.5752
336,20UPGM22601053,AsicFmarkTL,-21.0145,20.6585
337,20UPGM22601053,AsicFmarkTR,20.98135,20.71615
338,20UPGM22601053,AsicFmarkBL,-20.9755,-19.4142
339,20UPGM22601053,AsicFmarkBR,21.03985,-19.361
340,20UPGM22601053,FmarkTL,-18.8365,19.952650000000002
341,20UPGM22601053,FmarkTR,18.749850000000002,19.9585
342,20UPGM22601053,FmarkBL,-18.817,-18.6025
343,20UPGM22601053,FmarkBR,18.7635,-18.6025
344,20UPGM22601067,AsicFmarkTL,-21.0535,20.6858
345,20UPGM22601067,AsicFmarkTR,20.956,20.7493
346,20UPGM22601067,AsicFmarkBL,-21.0145,-19.383
347,20UPGM22601067,AsicFmarkBR,20.995,-19.341500000000003
348,20UPGM22601067,FmarkTL,-18.83065,19.991650000000003
349,20UPGM22601067,FmarkTR,18.749850000000002,19.9858
350,20UPGM22601067,FmarkBL,-18.8443,-18.56935
351,20UPGM22601067,FmarkBR,18.73035,-18.5752
352,20UPGM22601069,AsicFmarkTL,-21.1198,20.672150000000002
353,20UPGM22601069,AsicFmarkTR,20.8897,20.768800000000002
354,20UPGM22601069,AsicFmarkBL,-21.02815,-19.4142
355,20UPGM22601069,AsicFmarkBR,20.9755,-19.32785
356,20UPGM22601069,FmarkTL,-18.9028,19.9663
357,20UPGM22601069,FmarkTR,18.671850000000003,20.01115
358,20UPGM22601069,FmarkBL,-18.86965,-18.58885
359,20UPGM22601069,FmarkBR,18.716700000000003,-18.555699999999998
360,20UPGM22601063,AsicFmarkTL,-21.112000000000002,20.672150000000002
361,20UPGM22601063,AsicFmarkTR,20.8975,20.741500000000002
362,20UPGM22601063,AsicFmarkBL,-21.0535,-19.4142
363,20UPGM22601063,AsicFmarkBR,20.94235,-19.341500000000003
364,20UPGM22601063,FmarkTL,-18.8755,19.991650000000003
365,20UPGM22601063,FmarkTR,18.6855,20.005300000000002
366,20UPGM22601063,FmarkBL,-18.8755,-18.563499999999998
367,20UPGM22601063,FmarkBR,18.705000000000002,-18.54985
368,20UPGM22601048,AsicFmarkTL,-21.041800000000002,20.6585
369,20UPGM22601048,AsicFmarkTR,20.9677,20.7298
370,20UPGM22601048,AsicFmarkBL,-20.96965,-19.42785
371,20UPGM22601048,AsicFmarkBR,21.0262,-19.361
372,20UPGM22601048,FmarkTL,-18.83065,19.939000000000004
373,20UPGM22601048,FmarkTR,18.744000000000003,19.978
374,20UPGM22601048,FmarkBL,-18.7975,-18.622
375,20UPGM22601048,FmarkBR,18.783,-18.58885
376,20UPGM22601055,AsicFmarkTL,-21.041800000000002,20.619500000000002
377,20UPGM22601055,AsicFmarkTR,20.9482,20.71615
378,20UPGM22601055,AsicFmarkBL,-20.9833,-19.461
379,20UPGM22601055,AsicFmarkBR,21.034,-19.372700000000002
380,20UPGM22601055,FmarkTL,-18.8365,19.927300000000002
381,20UPGM22601055,FmarkTR,18.724500000000003,19.9663
382,20UPGM22601055,FmarkBL,-18.8053,-18.6337
383,20UPGM22601055,FmarkBR,18.7752,-18.5947
384,20UPGM22601068,AsicFmarkTL,-21.073,20.6585
385,20UPGM22601068,AsicFmarkTR,20.9482,20.7493
386,20UPGM22601068,AsicFmarkBL,-20.9833,-19.4142
387,20UPGM22601068,AsicFmarkBR,21.0145,-19.32785
388,20UPGM22601068,FmarkTL,-18.8443,19.952650000000002
389,20UPGM22601068,FmarkTR,18.73035,19.972150000000003
390,20UPGM22601068,FmarkBL,-18.83065,-18.6025
391,20UPGM22601068,FmarkBR,18.7557,-18.583
392,20UPGM22601075,AsicFmarkTL,-21.0925,20.61365
393,20UPGM22601075,AsicFmarkTR,20.917,20.7103
394,20UPGM22601075,AsicFmarkBL,-21.0145,-19.48635
395,20UPGM22601075,AsicFmarkBR,20.995,-19.392200000000003
396,20UPGM22601075,FmarkTL,-18.863799999999998,19.927300000000002
397,20UPGM22601075,FmarkTR,18.705000000000002,19.946800000000003
398,20UPGM22601075,FmarkBL,-18.8365,-18.62785
399,20UPGM22601075,FmarkBR,18.736200000000004,-18.5947
400,20UPGM22601076,AsicFmarkTL,,
401,20UPGM22601076,AsicFmarkTR,,
402,20UPGM22601076,AsicFmarkBL,,
403,20UPGM22601076,AsicFmarkBR,,
404,20UPGM22601076,FmarkTL,-18.86965,19.939000000000004
405,20UPGM22601076,FmarkTR,18.697200000000002,19.972150000000003
406,20UPGM22601076,FmarkBL,-18.8248,-18.6025
407,20UPGM22601076,FmarkBR,18.7557,-18.5947
408,20UPGM22601077,AsicFmarkTL,-21.073,20.678
409,20UPGM22601077,AsicFmarkTR,20.917,20.7298
410,20UPGM22601077,AsicFmarkBL,-21.02815,-19.40835
411,20UPGM22601077,AsicFmarkBR,20.9755,-19.366850000000003
412,20UPGM22601077,FmarkTL,-18.8833,19.946800000000003
413,20UPGM22601077,FmarkTR,18.705000000000002,19.9858
414,20UPGM22601077,FmarkBL,-18.85015,-18.58885
415,20UPGM22601077,FmarkBR,18.724500000000003,-18.5752
416,20UPGM22601078,AsicFmarkTL,-21.06715,20.6858
417,20UPGM22601078,AsicFmarkTR,20.94235,20.722
418,20UPGM22601078,AsicFmarkBL,-21.0535,-19.3947
419,20UPGM22601078,AsicFmarkBR,20.961850000000002,-19.366850000000003
420,20UPGM22601078,FmarkTL,-18.83065,19.997500000000002
421,20UPGM22601078,FmarkTR,18.73035,19.991650000000003
422,20UPGM22601078,FmarkBL,-18.8443,-18.54985
423,20UPGM22601078,FmarkBR,18.724500000000003,-18.563499999999998
424,20UPGM22601079,AsicFmarkTL,-21.02815,20.672150000000002
425,20UPGM22601079,AsicFmarkTR,20.9755,20.722
426,20UPGM22601079,AsicFmarkBL,-20.989150000000002,-19.42785
427,20UPGM22601079,AsicFmarkBR,21.0145,-19.3805
428,20UPGM22601079,FmarkTL,-18.8248,19.939000000000004
429,20UPGM22601079,FmarkTR,18.744000000000003,19.972150000000003
430,20UPGM22601079,FmarkBL,-18.8053,-18.608349999999998
431,20UPGM22601079,FmarkBR,18.769350000000003,-18.583
432,20UPGM22601080,AsicFmarkTL,-21.1315,20.549300000000002
433,20UPGM22601080,AsicFmarkTR,20.878,20.6908
434,20UPGM22601080,AsicFmarkBL,-21.0223,-19.5312
435,20UPGM22601080,AsicFmarkBR,20.995,-19.400000000000002
436,20UPGM22601080,FmarkTL,-18.8755,19.900000000000002
437,20UPGM22601080,FmarkTR,18.705000000000002,19.919500000000003
