,serial_number,qc_stage,scan_num,scan_tags,analysis_tags,analysis_value
95,20UPGPQ2601120,PCB_POPULATION,001,FlexL,FlexL_0_y,19.379525
96,20UPGPQ2601120,PCB_POPULATION,001,FlexL,FlexL_1_x,-19.8239925
97,20UPGPQ2601120,PCB_POPULATION,001,FlexL,FlexL_1_y,5.1087750000000005
98,20UPGPQ2601120,PCB_POPULATION,001,FlexL,FlexL_2_x,-19.85529
99,20UPGPQ2601120,PCB_POPULATION,001,FlexL,FlexL_2_y,-9.991225
100,20UPGPQ2601120,PCB_POPULATION,001,FlexL,FlexL_3_x,-19.8731325
101,20UPGPQ2601120,PCB_POPULATION,001,FlexL,FlexL_3_y,-18.591225
102,20UPGPQ2601120,PCB_POPULATION,001,FlexR,FlexR_0_x,20.00966
103,20UPGPQ2601120,PCB_POPULATION,001,FlexR,FlexR_0_y,-18.825225000000003
104,20UPGPQ2601120,PCB_POPULATION,001,FlexR,FlexR_1_x,19.72574
105,20UPGPQ2601120,PCB_POPULATION,001,FlexR,FlexR_1_y,-10.515725000000002
106,20UPGPQ2601120,PCB_POPULATION,001,FlexR,FlexR_2_x,19.7741
107,20UPGPQ2601120,PCB_POPULATION,001,FlexR,FlexR_2_y,10.455275
108,20UPGPQ2601120,PCB_POPULATION,001,FlexR,FlexR_3_x,19.777805
109,20UPGPQ2601120,PCB_POPULATION,001,FlexR,FlexR_3_y,18.972025
110,20UPGPQ2601120,PCB_POPULATION,001,FlexT,FlexT_0_x,18.549725
111,20UPGPQ2601120,PCB_POPULATION,001,FlexT,FlexT_0_y,20.6705
112,20UPGPQ2601120,PCB_POPULATION,001,FlexT,FlexT_1_x,10.878975
113,20UPGPQ2601120,PCB_POPULATION,001,FlexT,FlexT_1_y,20.4102725
114,20UPGPQ2601120,PCB_POPULATION,001,FlexT,FlexT_2_x,-10.701525
115,20UPGPQ2601120,PCB_POPULATION,001,FlexT,FlexT_2_y,20.435135000000002
116,20UPGPQ2601120,PCB_POPULATION,001,FlexT,FlexT_3_x,-18.240525
117,20UPGPQ2601120,PCB_POPULATION,001,FlexT,FlexT_3_y,20.432795000000002
118,20UPGPQ2601120,PCB_POPULATION,001,FlexB,FlexB_0_x,-18.896275000000003
119,20UPGPQ2601120,PCB_POPULATION,001,FlexB,FlexB_0_y,-19.913719999999998
120,20UPGPQ2601120,PCB_POPULATION,001,FlexB,FlexB_1_x,-10.508775
121,20UPGPQ2601120,PCB_POPULATION,001,FlexB,FlexB_1_y,-19.921715
122,20UPGPQ2601120,PCB_POPULATION,001,FlexB,FlexB_2_x,10.500975
123,20UPGPQ2601120,PCB_POPULATION,001,FlexB,FlexB_2_y,-19.9496975
124,20UPGPQ2601120,PCB_POPULATION,001,FlexB,FlexB_3_x,17.996225
125,20UPGPQ2601120,PCB_POPULATION,001,FlexB,FlexB_3_y,-19.9584725
126,20UPGPQ2601120,PCB_POPULATION,001,HoleTL,HoleTL_x,-27.06893912475601
127,20UPGPQ2601120,PCB_POPULATION,001,HoleTL,HoleTL_y,27.23156363581635
128,20UPGPQ2601120,PCB_POPULATION,001,HoleTL,HoleTL_r,1.5361443025679458
129,20UPGPQ2601120,PCB_POPULATION,001,SlotBR,SlotBR_x,26.94059321462637
130,20UPGPQ2601120,PCB_POPULATION,001,SlotBR,SlotBR_y,-26.794188061655028
131,20UPGPQ2601120,PCB_POPULATION,001,SlotBR,SlotBR_r,1.5320000000000005
132,20UPGPQ2601120,PCB_POPULATION,001,SlotBR,SlotBR_alpha,-0.7853981633974483
133,20UPGPQ2601120,PCB_POPULATION,001,SlotBR,FlexL_line,19.83866746672758
134,20UPGPQ2601120,PCB_POPULATION,001,SlotBR,FlexR_line,-19.821915439606713
135,20UPGPQ2601120,PCB_POPULATION,001,SlotBR,FlexT_line,-20.48662553238773
136,20UPGPQ2601120,PCB_POPULATION,001,SlotBR,FlexB_line,19.936183065870893
137,20UPGPQ2601120,PCB_POPULATION,001,SlotBR,FlexX,39.66052468629821
138,20UPGPQ2601120,PCB_POPULATION,001,SlotBR,FlexY,40.42277743673608
139,20UPGPQ2601120,PCB_POPULATION,001,SlotBR,HoleTL_diameter,3.0722886051358915
140,20UPGPQ2601120,PCB_POPULATION,001,SlotBR,SlotBR_width,3.064000000000001
141,20UPGPQ2601138,PCB_POPULATION,001,FlexL,FlexL_0_x,-19.716645
142,20UPGPQ2601138,PCB_POPULATION,001,FlexL,FlexL_0_y,19.389275
143,20UPGPQ2601138,PCB_POPULATION,001,FlexL,FlexL_1_x,-19.709235
144,20UPGPQ2601138,PCB_POPULATION,001,FlexL,FlexL_1_y,5.1087750000000005
145,20UPGPQ2601138,PCB_POPULATION,001,FlexL,FlexL_2_x,-19.7278575
146,20UPGPQ2601138,PCB_POPULATION,001,FlexL,FlexL_2_y,-10.137475
147,20UPGPQ2601138,PCB_POPULATION,001,FlexL,FlexL_3_x,-19.73205
148,20UPGPQ2601138,PCB_POPULATION,001,FlexL,FlexL_3_y,-18.591225
149,20UPGPQ2601138,PCB_POPULATION,001,FlexR,FlexR_0_x,19.8436175
150,20UPGPQ2601138,PCB_POPULATION,001,FlexR,FlexR_0_y,-18.591225
151,20UPGPQ2601138,PCB_POPULATION,001,FlexR,FlexR_1_x,19.842935
152,20UPGPQ2601138,PCB_POPULATION,001,FlexR,FlexR_1_y,-10.691225000000001
