,serial_number,x,y,z,tags,imagePath
22,20UPGM22101021,-0.0,-15.5,9.753595999999998,Connector,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8875.jpg
23,20UPGM22101021,3.0,-15.5,9.758095999999998,Connector,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8876.jpg
24,20UPGM22101021,20.8,19.5,8.014196000000004,AsicR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8877.jpg
25,20UPGM22101021,20.8,5.1000000000000005,8.012896000000001,AsicR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8878.jpg
26,20UPGM22101021,20.8,-9.9,8.012896000000001,AsicR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8879.jpg
27,20UPGM22101021,20.8,-18.6,8.014196000000004,AsicR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8880.jpg
28,20UPGM22101021,18.0,-19.7,8.175196000000003,SensorB,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8881.jpg
29,20UPGM22101021,11.1,-19.7,8.173896000000001,SensorB,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8882.jpg
30,20UPGM22101021,-8.9,-19.7,8.167696000000003,SensorB,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8883.jpg
31,20UPGM22101021,-18.3,-19.7,8.162696000000004,SensorB,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8884.jpg
32,20UPGM22101021,-20.8,-18.7,7.999496,AsicL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8885.jpg
33,20UPGM22101021,-20.8,-10.0,8.000796000000003,AsicL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8886.jpg
34,20UPGM22101021,-20.8,10.0,7.999496,AsicL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8887.jpg
35,20UPGM22101021,-20.8,19.5,7.999995999999999,AsicL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8888.jpg
36,20UPGM22101021,-18.0,21.0,8.162196000000003,SensorT,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8889.jpg
37,20UPGM22101021,-10.1,21.0,8.162196000000003,SensorT,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8890.jpg
38,20UPGM22101021,10.0,21.0,8.171396000000001,SensorT,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8891.jpg
