,serial_number,qc_stage,scan_num,tags,valueType,values
129,20UPGM22601026,MODULE_ASSEMBLY,002,SensorB,detect_y,-19.781315
130,20UPGM22601026,MODULE_ASSEMBLY,002,SensorB,detect_x,11.091225
131,20UPGM22601026,MODULE_ASSEMBLY,002,SensorB,detect_y,-19.815245
132,20UPGM22601026,MODULE_ASSEMBLY,002,SensorB,detect_x,-8.655275
133,20UPGM22601026,MODULE_ASSEMBLY,002,SensorB,detect_y,-19.930295
134,20UPGM22601026,MODULE_ASSEMBLY,002,SensorB,detect_x,-18.650025
135,20UPGM22601026,MODULE_ASSEMBLY,002,SensorB,detect_y,-19.9881125
136,20UPGM22601026,MODULE_ASSEMBLY,002,FlexT,detect_x,-18.528275
137,20UPGM22601026,MODULE_ASSEMBLY,002,FlexT,detect_y,20.8775125
138,20UPGM22601026,MODULE_ASSEMBLY,002,FlexT,detect_x,-10.508775
139,20UPGM22601026,MODULE_ASSEMBLY,002,FlexT,detect_y,20.8730275
140,20UPGM22601026,MODULE_ASSEMBLY,002,FlexT,detect_x,10.052475
141,20UPGM22601026,MODULE_ASSEMBLY,002,FlexT,detect_y,20.9003275
142,20UPGM22601026,MODULE_ASSEMBLY,002,FlexT,detect_x,18.442475
143,20UPGM22601026,MODULE_ASSEMBLY,002,FlexT,detect_y,20.914855
144,20UPGM22601026,MODULE_ASSEMBLY,002,FlexB,detect_x,18.0117
145,20UPGM22601026,MODULE_ASSEMBLY,002,FlexB,detect_y,-19.4322
146,20UPGM22601026,MODULE_ASSEMBLY,002,FlexB,detect_x,10.0195
147,20UPGM22601026,MODULE_ASSEMBLY,002,FlexB,detect_y,-19.451700000000002
148,20UPGM22601026,MODULE_ASSEMBLY,002,FlexB,detect_x,-9.745525
149,20UPGM22601026,MODULE_ASSEMBLY,002,FlexB,detect_y,-19.463205000000002
150,20UPGM22601026,MODULE_ASSEMBLY,002,FlexB,detect_x,-17.667525
151,20UPGM22601026,MODULE_ASSEMBLY,002,FlexB,detect_y,-19.470225000000003
152,20UPGM22601026,MODULE_ASSEMBLY,002,FlexL,detect_x,-19.787562500000003
153,20UPGM22601026,MODULE_ASSEMBLY,002,FlexL,detect_y,-18.391225000000002
154,20UPGM22601026,MODULE_ASSEMBLY,002,FlexL,detect_x,-19.800432500000003
155,20UPGM22601026,MODULE_ASSEMBLY,002,FlexL,detect_y,-5.178975
156,20UPGM22601026,MODULE_ASSEMBLY,002,FlexL,detect_x,-19.799555
157,20UPGM22601026,MODULE_ASSEMBLY,002,FlexL,detect_y,9.908775
158,20UPGM22601026,MODULE_ASSEMBLY,002,FlexL,detect_x,-19.811255000000003
159,20UPGM22601026,MODULE_ASSEMBLY,002,FlexL,detect_y,18.689275
160,20UPGM22601026,MODULE_ASSEMBLY,002,FlexR,detect_x,19.74882
161,20UPGM22601026,MODULE_ASSEMBLY,002,FlexR,detect_y,18.903775
162,20UPGM22601026,MODULE_ASSEMBLY,002,FlexR,detect_x,19.750185
163,20UPGM22601026,MODULE_ASSEMBLY,002,FlexR,detect_y,10.708775000000001
164,20UPGM22601026,MODULE_ASSEMBLY,002,FlexR,detect_x,19.7705625
165,20UPGM22601026,MODULE_ASSEMBLY,002,FlexR,detect_y,-10.369475000000001
166,20UPGM22601026,MODULE_ASSEMBLY,002,FlexR,detect_x,19.77924
167,20UPGM22601026,MODULE_ASSEMBLY,002,FlexR,detect_y,-18.564474999999998
168,20UPGM22601026,MODULE_ASSEMBLY,002,FmarkTL,detect_x,-18.817
169,20UPGM22601026,MODULE_ASSEMBLY,002,FmarkTL,detect_y,19.991650000000003
170,20UPGM22601026,MODULE_ASSEMBLY,002,FmarkBL,detect_x,-18.7858
171,20UPGM22601026,MODULE_ASSEMBLY,002,FmarkBL,detect_y,-18.56935
172,20UPGM22601026,MODULE_ASSEMBLY,002,FmarkBR,detect_x,18.794700000000002
173,20UPGM22601026,MODULE_ASSEMBLY,002,FmarkBR,detect_y,-18.53035
174,20UPGM22601026,MODULE_ASSEMBLY,002,FmarkTR,detect_x,18.749850000000002
175,20UPGM22601026,MODULE_ASSEMBLY,002,FmarkTR,detect_y,20.024800000000003
176,20UPGM22601026,MODULE_ASSEMBLY,002,AsicFmarkBL,detect_x,-20.927300000000002
177,20UPGM22601026,MODULE_ASSEMBLY,002,AsicFmarkBL,detect_y,-19.5195
178,20UPGM22601026,MODULE_ASSEMBLY,002,AsicFmarkBR,detect_x,21.073
179,20UPGM22601026,MODULE_ASSEMBLY,002,AsicFmarkBR,detect_y,-19.269350000000003
180,20UPGM22601026,MODULE_ASSEMBLY,002,AsicFmarkTR,detect_x,20.84485
181,20UPGM22601026,MODULE_ASSEMBLY,002,AsicFmarkTR,detect_y,20.8273
182,20UPGM22601026,MODULE_ASSEMBLY,002,AsicL,line_p0,21.136383850903123
183,20UPGM22601026,MODULE_ASSEMBLY,002,AsicL,line_p1,1.0
184,20UPGM22601026,MODULE_ASSEMBLY,002,AsicL,line_p2,0.005911428508613613
185,20UPGM22601026,MODULE_ASSEMBLY,002,AsicR,line_p0,-21.060265791178864
186,20UPGM22601026,MODULE_ASSEMBLY,002,AsicR,line_p1,1.0
187,20UPGM22601026,MODULE_ASSEMBLY,002,AsicR,line_p2,0.005944803331081607
188,20UPGM22601026,MODULE_ASSEMBLY,002,SensorT,line_p0,-21.21124748948486
189,20UPGM22601026,MODULE_ASSEMBLY,002,SensorT,line_p1,-0.005915898560868372
190,20UPGM22601026,MODULE_ASSEMBLY,002,SensorT,line_p2,1.0
191,20UPGM22601026,MODULE_ASSEMBLY,002,SensorB,line_p0,19.881243371801347
192,20UPGM22601026,MODULE_ASSEMBLY,002,SensorB,line_p1,-0.005692821213206162
193,20UPGM22601026,MODULE_ASSEMBLY,002,SensorB,line_p2,1.0
194,20UPGM22601026,MODULE_ASSEMBLY,002,FlexL,line_p0,19.79902469331479
195,20UPGM22601026,MODULE_ASSEMBLY,002,FlexL,line_p1,1.0
196,20UPGM22601026,MODULE_ASSEMBLY,002,FlexL,line_p2,0.0005382473106494709
197,20UPGM22601026,MODULE_ASSEMBLY,002,FlexR,line_p0,-19.762345927708946
198,20UPGM22601026,MODULE_ASSEMBLY,002,FlexR,line_p1,1.0
199,20UPGM22601026,MODULE_ASSEMBLY,002,FlexR,line_p2,0.0008491170583289462
200,20UPGM22601026,MODULE_ASSEMBLY,002,FlexT,line_p0,-20.891577944699165
201,20UPGM22601026,MODULE_ASSEMBLY,002,FlexT,line_p1,-0.001087029693141334
202,20UPGM22601026,MODULE_ASSEMBLY,002,FlexT,line_p2,1.0
203,20UPGM22601026,MODULE_ASSEMBLY,002,FlexB,line_p0,19.454479687265643
204,20UPGM22601026,MODULE_ASSEMBLY,002,FlexB,line_p1,-0.0009524372119303722
205,20UPGM22601026,MODULE_ASSEMBLY,002,FlexB,line_p2,1.0
206,20UPGM22601027,MODULE_ASSEMBLY,001,AsicL,detect_x,-21.0613
207,20UPGM22601027,MODULE_ASSEMBLY,001,AsicL,detect_y,-18.7
208,20UPGM22601027,MODULE_ASSEMBLY,001,AsicL,detect_x,-21.086650000000002
209,20UPGM22601027,MODULE_ASSEMBLY,001,AsicL,detect_y,-10.0
210,20UPGM22601027,MODULE_ASSEMBLY,001,AsicL,detect_x,-21.139300000000002
211,20UPGM22601027,MODULE_ASSEMBLY,001,AsicL,detect_y,9.961
212,20UPGM22601027,MODULE_ASSEMBLY,001,AsicL,detect_x,-21.1783
213,20UPGM22601027,MODULE_ASSEMBLY,001,AsicL,detect_y,19.4805
214,20UPGM22601027,MODULE_ASSEMBLY,001,AsicR,detect_x,21.02035
215,20UPGM22601027,MODULE_ASSEMBLY,001,AsicR,detect_y,19.5
216,20UPGM22601027,MODULE_ASSEMBLY,001,AsicR,detect_x,21.059350000000002
217,20UPGM22601027,MODULE_ASSEMBLY,001,AsicR,detect_y,5.094150000000001
218,20UPGM22601027,MODULE_ASSEMBLY,001,AsicR,detect_x,21.07885
219,20UPGM22601027,MODULE_ASSEMBLY,001,AsicR,detect_y,-9.905850000000001
220,20UPGM22601027,MODULE_ASSEMBLY,001,AsicR,detect_x,21.104200000000002
221,20UPGM22601027,MODULE_ASSEMBLY,001,AsicR,detect_y,-18.639000000000003
222,20UPGM22601027,MODULE_ASSEMBLY,001,SensorT,detect_x,-18.350025
223,20UPGM22601027,MODULE_ASSEMBLY,001,SensorT,detect_y,21.1660425
224,20UPGM22601027,MODULE_ASSEMBLY,001,SensorT,detect_x,-9.904024999999999
225,20UPGM22601027,MODULE_ASSEMBLY,001,SensorT,detect_y,21.185835
226,20UPGM22601027,MODULE_ASSEMBLY,001,SensorT,detect_x,9.913225
227,20UPGM22601027,MODULE_ASSEMBLY,001,SensorT,detect_y,21.2348775
228,20UPGM22601027,MODULE_ASSEMBLY,001,SensorT,detect_x,18.312975
229,20UPGM22601027,MODULE_ASSEMBLY,001,SensorT,detect_y,21.2547675
230,20UPGM22601027,MODULE_ASSEMBLY,001,SensorB,detect_x,18.205725
231,20UPGM22601027,MODULE_ASSEMBLY,001,SensorB,detect_y,-19.8326975
232,20UPGM22601027,MODULE_ASSEMBLY,001,SensorB,detect_x,11.081475
233,20UPGM22601027,MODULE_ASSEMBLY,001,SensorB,detect_y,-19.852977499999998
234,20UPGM22601027,MODULE_ASSEMBLY,001,SensorB,detect_x,-9.318275
235,20UPGM22601027,MODULE_ASSEMBLY,001,SensorB,detect_y,-19.8989975
236,20UPGM22601027,MODULE_ASSEMBLY,001,SensorB,detect_x,-18.308775
237,20UPGM22601027,MODULE_ASSEMBLY,001,SensorB,detect_y,-19.926199999999998
238,20UPGM22601027,MODULE_ASSEMBLY,001,FlexT,detect_x,-18.908525
239,20UPGM22601027,MODULE_ASSEMBLY,001,FlexT,detect_y,20.852845000000002
240,20UPGM22601027,MODULE_ASSEMBLY,001,FlexT,detect_x,-10.508775
241,20UPGM22601027,MODULE_ASSEMBLY,001,FlexT,detect_y,20.852845000000002
242,20UPGM22601027,MODULE_ASSEMBLY,001,FlexT,detect_x,10.491225
243,20UPGM22601027,MODULE_ASSEMBLY,001,FlexT,detect_y,20.8874575
244,20UPGM22601027,MODULE_ASSEMBLY,001,FlexT,detect_x,18.032975
245,20UPGM22601027,MODULE_ASSEMBLY,001,FlexT,detect_y,20.90218
246,20UPGM22601027,MODULE_ASSEMBLY,001,FlexB,detect_x,18.02535
247,20UPGM22601027,MODULE_ASSEMBLY,001,FlexB,detect_y,-19.44585
248,20UPGM22601027,MODULE_ASSEMBLY,001,FlexB,detect_x,9.991225
249,20UPGM22601027,MODULE_ASSEMBLY,001,FlexB,detect_y,-19.459500000000002
250,20UPGM22601027,MODULE_ASSEMBLY,001,FlexB,detect_x,-10.028275
251,20UPGM22601027,MODULE_ASSEMBLY,001,FlexB,detect_y,-19.474125
252,20UPGM22601027,MODULE_ASSEMBLY,001,FlexB,detect_x,-18.174525
253,20UPGM22601027,MODULE_ASSEMBLY,001,FlexB,detect_y,-19.486410000000003
254,20UPGM22601027,MODULE_ASSEMBLY,001,FlexL,detect_x,-19.805795000000003
255,20UPGM22601027,MODULE_ASSEMBLY,001,FlexL,detect_y,-18.391225000000002
256,20UPGM22601027,MODULE_ASSEMBLY,001,FlexL,detect_x,-19.816715000000002
257,20UPGM22601027,MODULE_ASSEMBLY,001,FlexL,detect_y,-5.0912250000000006
258,20UPGM22601027,MODULE_ASSEMBLY,001,FlexL,detect_x,-19.827147500000002
259,20UPGM22601027,MODULE_ASSEMBLY,001,FlexL,detect_y,9.908775
260,20UPGM22601027,MODULE_ASSEMBLY,001,FlexL,detect_x,-19.846647500000003
261,20UPGM22601027,MODULE_ASSEMBLY,001,FlexL,detect_y,18.708775
262,20UPGM22601027,MODULE_ASSEMBLY,001,FlexR,detect_x,19.7122575
263,20UPGM22601027,MODULE_ASSEMBLY,001,FlexR,detect_y,18.708775
264,20UPGM22601027,MODULE_ASSEMBLY,001,FlexR,detect_x,19.71801
265,20UPGM22601027,MODULE_ASSEMBLY,001,FlexR,detect_y,10.708775000000001
266,20UPGM22601027,MODULE_ASSEMBLY,001,FlexR,detect_x,19.747845
267,20UPGM22601027,MODULE_ASSEMBLY,001,FlexR,detect_y,-10.691225000000001
