,serial_number,qc_stage,scan_num,tags,detect_x,detect_y
116,20UPGM22601016,MODULE_ASSEMBLY,002,AsicFmarkTL,-21.056,20.63815
117,20UPGM22601016,MODULE_ASSEMBLY,002,AsicFmarkBL,-20.9858,-19.44735
118,20UPGM22601016,MODULE_ASSEMBLY,002,AsicFmarkBR,21.0262,-19.372700000000002
119,20UPGM22601016,MODULE_ASSEMBLY,002,AsicFmarkTR,20.9482,20.7298
120,20UPGM22110427,MODULE_ASSEMBLY,004,AsicL,-21.112000000000002,-18.64735
121,20UPGM22110427,MODULE_ASSEMBLY,004,AsicL,-21.10303,-10.108225
122,20UPGM22110427,MODULE_ASSEMBLY,004,AsicL,-21.112000000000002,10.01365
123,20UPGM22110427,MODULE_ASSEMBLY,004,AsicL,-21.1198,19.5585
124,20UPGM22110427,MODULE_ASSEMBLY,004,AsicR,21.073,19.5585
125,20UPGM22110427,MODULE_ASSEMBLY,004,AsicR,21.0847,5.1331500000000005
126,20UPGM22110427,MODULE_ASSEMBLY,004,AsicR,21.0847,-9.98385
127,20UPGM22110427,MODULE_ASSEMBLY,004,AsicR,21.0847,-18.561
128,20UPGM22110427,MODULE_ASSEMBLY,004,SensorT,-17.765025,21.223275
129,20UPGM22110427,MODULE_ASSEMBLY,004,SensorT,-10.108775,21.230295
130,20UPGM22110427,MODULE_ASSEMBLY,004,SensorT,9.776725,21.2385825
131,20UPGM22110427,MODULE_ASSEMBLY,004,SensorT,18.010725,21.240435
132,20UPGM22110427,MODULE_ASSEMBLY,004,SensorB,18.010725,-19.851319999999998
133,20UPGM22110427,MODULE_ASSEMBLY,004,SensorB,11.100975,-19.8547325
134,20UPGM22110427,MODULE_ASSEMBLY,004,SensorB,-8.908775,-19.86068
135,20UPGM22110427,MODULE_ASSEMBLY,004,SensorB,-18.328275,-19.8611675
136,20UPGM22110427,MODULE_ASSEMBLY,004,FlexT,-18.508775,20.8736125
